;insel1;insel2;insel3;insel4;insel5;acqua1;acqua2;acqua3;acqua4;acqua5;ukl1;ukl2;ukl3;ukl4;ukl5;insel ∅;acqua  ∅;ukl ∅;total ∅;
insel1;0.0;914.0;813.7;737.6;673.8;954.4;890.6;840.4;833.4;968.1;972.4;948.8;920.2;897.2;991.9;784.8;897.4;946.1;882.6;
insel2;914.0;0.0;828.8;865.0;837.5;735.4;744.7;813.3;796.9;825.3;827.3;869.5;902.7;893.4;887.1;861.3;783.1;876.0;838.6;
insel3;813.7;828.8;0.0;895.9;760.0;925.0;919.0;878.9;887.4;927.4;840.6;821.9;903.0;886.8;810.8;824.6;907.5;852.6;864.2;
insel4;737.6;865.0;895.9;0.0;750.5;880.8;828.4;816.0;754.2;940.4;967.9;916.8;902.2;868.8;962.0;812.3;844.0;923.5;863.3;
insel5;673.8;837.5;760.0;750.5;0.0;809.4;814.6;793.1;745.6;852.3;905.8;906.2;899.5;797.7;908.0;755.5;803.0;883.4;818.1;
acqua1;954.4;735.4;925.0;880.8;809.4;0.0;542.0;634.9;612.5;599.5;691.2;764.3;861.2;876.0;828.4;861.0;597.2;804.2;765.4;
acqua2;890.6;744.7;919.0;828.4;814.6;542.0;0.0;552.8;524.8;681.0;818.8;786.8;835.2;806.1;871.6;839.5;575.2;823.7;758.3;
acqua3;840.4;813.3;878.9;816.0;793.1;634.9;552.8;0.0;446.9;730.0;794.7;835.8;882.4;815.0;784.9;828.3;591.2;822.6;758.5;
acqua4;833.4;796.9;887.4;754.2;745.6;612.5;524.8;446.9;0.0;701.9;878.5;835.2;862.0;786.3;867.4;803.5;571.5;845.9;752.4;
acqua5;968.1;825.3;927.4;940.4;852.3;599.5;681.0;730.0;701.9;0.0;736.5;828.6;815.1;835.4;789.6;902.7;678.1;801.0;802.2;
ukl1;972.4;827.3;840.6;967.9;905.8;691.2;818.8;794.7;878.5;736.5;0.0;761.3;779.3;785.5;631.1;902.8;783.9;739.3;813.6;
ukl2;948.8;869.5;821.9;916.8;906.2;764.3;786.8;835.8;835.2;828.6;761.3;0.0;789.2;822.6;732.3;892.6;810.1;776.4;830.0;
ukl3;920.2;902.7;903.0;902.2;899.5;861.2;835.2;882.4;862.0;815.1;779.3;789.2;0.0;778.2;765.5;905.5;851.2;778.1;849.7;
ukl4;897.2;893.4;886.8;868.8;797.7;876.0;806.1;815.0;786.3;835.4;785.5;822.6;778.2;0.0;730.2;868.8;823.8;779.1;827.1;
ukl5;991.9;887.1;810.8;962.0;908.0;828.4;871.6;784.9;867.4;789.6;631.1;732.3;765.5;730.2;0.0;912.0;828.4;714.8;825.8;
